county,state,counts
centre,pennsylvania,45
kennebec,maine,45
linn,oregon,44
stafford,virginia,44
saint tammany,louisiana,44
lewis,washington,44
pueblo,colorado,44
northampton,pennsylvania,44
brown,wisconsin,44
tippecanoe,indiana,44
williamson,tennessee,43
mobile,alabama,43
ottawa,michigan,43
douglas,oregon,43
sussex,delaware,43
grafton,new hampshire,43
merrimack,new hampshire,43
matanuska susitna,alaska,42
davis,utah,42
columbia,georgia,42
taylor,texas,42
vigo,indiana,42
gaston,north carolina,42
mesa,colorado,41
licking,ohio,41
yamhill,oregon,41
leon,florida,41
mclean,illinois,41
harrison,mississippi,41
saint clair,illinois,41
canyon,idaho,41
okanogan,washington,41
winnebago,wisconsin,41
black hawk,iowa,40
monroe,florida,40
kootenai,idaho,40
belknap,new hampshire,40
martin,florida,40
niagara,new york,40
brazoria,texas,40
clinton,michigan,40
benton,arkansas,39
weber,utah,39
berkshire,massachusetts,39
strafford,new hampshire,39
spotsylvania,virginia,39
scott,iowa,39
calcasieu,louisiana,39
rankin,mississippi,39
east baton rouge,louisiana,39
benton,oregon,38
hawaii,hawaii,38
la crosse,wisconsin,38
medina,ohio,38
yellowstone,montana,38
navajo,arizona,38
kenosha,wisconsin,38
cochise,arizona,38
island,washington,38
santa rosa,florida,38
mercer,pennsylvania,38
columbia,wisconsin,37
minnehaha,south dakota,37
sangamon,illinois,37
cherokee,georgia,37
sumner,tennessee,37
bell,texas,37
indian river,florida,37
shawnee,kansas,37
hunterdon,new jersey,37
schuylkill,pennsylvania,36
jackson,michigan,36
vanderburgh,indiana,36
lackawanna,pennsylvania,35
limestone,alabama,35
lubbock,texas,35
kent,delaware,35
warren,kentucky,35
botetourt,virginia,35
hidalgo,texas,35
salem,virginia,35
monroe,michigan,35
oswego,new york,35
york,south carolina,34
grays harbor,washington,34
luzerne,pennsylvania,34
howard,indiana,34
lake,california,34
sandoval,new mexico,34
gloucester,new jersey,34
washington,vermont,34
faulkner,arkansas,34
lincoln,south dakota,34
hernando,florida,33
windham,connecticut,33
walla walla,washington,33
frederick,maryland,33
monroe,pennsylvania,33
imperial,california,33
ashtabula,ohio,33
brazos,texas,33
york,virginia,33
hall,georgia,33
nye,nevada,33
saint lawrence,new york,33
clark,ohio,33
dorchester,south carolina,33
wayne,west virginia,33
pennington,south dakota,33
douglas,kansas,32
anderson,south carolina,32
catawba,north carolina,32
kenai peninsula,alaska,32
chautauqua,new york,32
trumbull,ohio,32
cambria,pennsylvania,32
greene,new york,32
walworth,wisconsin,32
roanoke,virginia,32
tompkins,new york,32
osceola,florida,32
parker,texas,32
beaver,pennsylvania,32
tuolumne,california,32
elkhart,indiana,32
saratoga,new york,31
worcester,maryland,31
randall,texas,31
columbiana,ohio,31
cameron,texas,31
ontario,new york,31
hampshire,massachusetts,31
richland,ohio,31
peoria,illinois,31
klickitat,washington,31
carteret,north carolina,31
roanoke city,virginia,31
citrus,florida,31
richmond,georgia,30
franklin,missouri,30
mason,washington,30
sebastian,arkansas,30
sussex,new jersey,30
san juan,new mexico,30
wyandotte,kansas,30
cabarrus,north carolina,29
cascade,montana,29
racine,wisconsin,29
siskiyou,california,29
outagamie,wisconsin,29
kittitas,washington,29
mahoning,ohio,29
hancock,maine,29
washington,pennsylvania,29
chesapeake city,virginia,29
saginaw,michigan,29
hinds,mississippi,29
lycoming,pennsylvania,29
la paz,arizona,29
bonneville,idaho,28
spartanburg,south carolina,28
kauai,hawaii,28
coos,oregon,28
johnston,north carolina,28
johnson,iowa,28
durham,north carolina,28
butler,pennsylvania,28
flagler,florida,28
cass,north dakota,28
rockland,new york,28
kankakee,illinois,28
henry,georgia,27
saint lucie,florida,27
boone,kentucky,27
fredericksburg city,virginia,27
rock,wisconsin,27
elko,nevada,27
muscogee,georgia,27
tolland,connecticut,27
montgomery,tennessee,27
lawrence,pennsylvania,27
forsyth,georgia,27
berkeley,west virginia,27
cass,missouri,27
portage,wisconsin,26
pope,arkansas,26
carroll,new hampshire,26
franklin,pennsylvania,26
inyo,california,26
clatsop,oregon,26
jefferson,new york,26
muskegon,michigan,26
berrien,michigan,26
grand traverse,michigan,26
jefferson,texas,26
arlington,virginia,26
potter,texas,26
aroostook,maine,26
lewis and clark,montana,26
cecil,maryland,26
callaway,missouri,26
laramie,wyoming,26
madison,kentucky,26
kings,california,25
coos,new hampshire,25
tillamook,oregon,25
saint charles,missouri,25
lebanon,pennsylvania,25
hampton city,virginia,25
lake,ohio,25
pickaway,ohio,25
johnson,indiana,25
rock island,illinois,25
silver bow,montana,25
washington,tennessee,25
wagoner,oklahoma,25
lapeer,michigan,25
ross,ohio,25
scioto,ohio,25
chaves,new mexico,25
madera,california,25
olmsted,minnesota,25
kanawha,west virginia,25
livingston,louisiana,25
norfolk city,virginia,25
tooele,utah,24
natrona,wyoming,24
union,north carolina,24
jefferson,washington,24
klamath,oregon,24
champaign,illinois,24
alamance,north carolina,24
comanche,oklahoma,24
washington,new york,24
miami,ohio,24
carroll,maryland,24
warren,new york,24
cheshire,new hampshire,24
somerset,maine,24
burke,north carolina,24
onslow,north carolina,24
monongalia,west virginia,24
sullivan,new york,23
monroe,indiana,23
florence,south carolina,23
grant,new mexico,23
allegan,michigan,23
albany,wyoming,23
blair,pennsylvania,23
curry,oregon,23
jackson,mississippi,23
georgetown,south carolina,23
rensselaer,new york,23
pottawattamie,iowa,23
canadian,oklahoma,23
newport,rhode island,23
rowan,north carolina,23
san benito,california,23
saint croix,wisconsin,23
sheboygan,wisconsin,23
bennington,vermont,23
plumas,california,23
wood,west virginia,23
maury,tennessee,23
grant,indiana,22
story,iowa,22
desoto,mississippi,22
gila,arizona,22
albemarle,virginia,22
frederick,virginia,22
bonner,idaho,22
fairfield,ohio,22
wichita,texas,22
chambers,texas,22
lawrence,ohio,22
gregg,texas,22
mclennan,texas,22
henderson,north carolina,22
crawford,pennsylvania,22
warren,new jersey,22
twin falls,idaho,22
miami,indiana,22
clark,indiana,22
johnson,texas,22
hardin,kentucky,22
ellis,texas,21
umatilla,oregon,21
davidson,north carolina,21
porter,indiana,21
sutter,california,21
pickens,south carolina,21
montgomery,alabama,21
cattaraugus,new york,21
tom green,texas,21
grayson,texas,21
delaware,indiana,21
bossier,louisiana,21
butler,kansas,21
lincoln,nebraska,21
ector,texas,21
carver,minnesota,21
jasper,missouri,21
woodbury,iowa,21
scott,minnesota,21
macon,illinois,20
erie,ohio,20
cape girardeau,missouri,20
fond du lac,wisconsin,20
iredell,north carolina,20
floyd,georgia,20
lassen,california,20
phelps,missouri,20
franklin,massachusetts,20
sweetwater,wyoming,20
dekalb,illinois,20
lafayette,louisiana,20
mono,california,20
sevier,tennessee,20
kenton,kentucky,20
blount,tennessee,20
cumberland,new jersey,20
saint clair,michigan,20
fairfax city,virginia,20
fremont,colorado,20
kendall,illinois,20
craven,north carolina,20
washington,virginia,20
knox,illinois,20
manassas city,virginia,20
manassas park city,virginia,20
luna,new mexico,19
charles,maryland,19
wright,minnesota,19
clarke,georgia,19
taos,new mexico,19
rutland,vermont,19
lynchburg city,virginia,19
madison,tennessee,19
douglas,georgia,19
ramsey,minnesota,19
forsyth,north carolina,19
crow wing,minnesota,19
tehama,california,19
charlottesville city,virginia,19
highlands,florida,19
caddo,louisiana,19
lincoln,washington,19
ravalli,montana,19
coffee,tennessee,19
smith,texas,19
jackson,illinois,19
raleigh,west virginia,19
fayette,pennsylvania,19
calhoun,michigan,18
windsor,vermont,18
livingston,new york,18
wayne,pennsylvania,18
edgecombe,north carolina,18
walton,georgia,18
fayette,west virginia,18
wayne,ohio,18
floyd,indiana,18
calaveras,california,18
calhoun,alabama,18
windham,vermont,18
orange,north carolina,18
aiken,south carolina,18
houston,georgia,18
indiana,pennsylvania,18
schenectady,new york,18
franklin,north carolina,18
newport news city,virginia,18
stevens,washington,18
daviess,kentucky,18
manitowoc,wisconsin,18
bowie,texas,18
cayuga,new york,18
columbia,new york,18
nash,north carolina,18
carter,tennessee,18
carbon,pennsylvania,18
leavenworth,kansas,17
bastrop,texas,17
wasco,oregon,17
white,indiana,17
graham,arizona,17
ohio,west virginia,17
clay,florida,17
knox,maine,17
washington,utah,17
huron,ohio,17
le flore,oklahoma,17
putnam,new york,17
eagle,colorado,17
apache,arizona,17
preble,ohio,17
adams,pennsylvania,17
columbia,oregon,17
ward,north dakota,17
winchester city,virginia,17
henry,missouri,17
lenawee,michigan,17
rogers,oklahoma,17
williamsburg city,virginia,17
herkimer,new york,17
otero,new mexico,17
ouachita,louisiana,17
james city,virginia,17
waldo,maine,17
dubuque,iowa,17
clinton,new york,16
lake,oregon,16
calloway,kentucky,16
allen,ohio,16
rockdale,georgia,16
anderson,tennessee,16
park,colorado,16
sumter,south carolina,16
clinton,ohio,16
tuscaloosa,alabama,16
bedford,tennessee,16
dodge,wisconsin,16
curry,new mexico,16
ozaukee,wisconsin,16
oxford,maine,16
muskingum,ohio,16
la plata,colorado,16
franklin,washington,16
yuba,california,16
lee,mississippi,16
marquette,michigan,16
grundy,illinois,16
lafourche,louisiana,16
forrest,mississippi,16
pender,north carolina,16
otsego,new york,16
allegany,maryland,16
genesee,new york,16
pike,pennsylvania,16
mccracken,kentucky,16
northumberland,pennsylvania,16
rapides,louisiana,16
wayne,new york,16
pitt,north carolina,16
douglas,nevada,16
saint francois,missouri,16
otter tail,minnesota,15
fayette,georgia,15
amherst,virginia,15
chemung,new york,15
lee,alabama,15
sagadahoc,maine,15
harrison,west virginia,15
hancock,indiana,15
warrick,indiana,15
iron,utah,15
fulton,illinois,15
johnson,missouri,15
eau claire,wisconsin,15
columbia,pennsylvania,15
somerset,pennsylvania,15
van buren,michigan,15
wilkes,north carolina,15
la salle,illinois,15
douglas,washington,15
baxter,arkansas,15
henderson,texas,15
door,wisconsin,15
bibb,georgia,15
teller,colorado,15
santa cruz,arizona,15
tioga,new york,15
camden,missouri,15
saint joseph,michigan,15
beltrami,minnesota,15
sauk,wisconsin,15
wood,wisconsin,15
bates,missouri,15
socorro,new mexico,15
glenn,california,15
watauga,north carolina,15
boone,indiana,15
madison,indiana,15
boyd,kentucky,15
lincoln,wisconsin,15
clearfield,pennsylvania,15
dallas,iowa,15
knox,indiana,15
taney,missouri,15
danville city,virginia,15
portsmouth city,virginia,15
tuscola,michigan,14
midland,texas,14
cass,indiana,14
broomfield,colorado,14
defiance,ohio,14
new york,new york,14
franklin,new york,14
smyth,virginia,14
lea,new mexico,14
whiteside,illinois,14
coryell,texas,14
garfield,colorado,14
shiawassee,michigan,14
sherburne,minnesota,14
wicomico,maryland,14
marshall,alabama,14
armstrong,pennsylvania,14
pierce,wisconsin,14
randolph,north carolina,14
clayton,georgia,14
lancaster,south carolina,14
idaho,idaho,14
goodhue,minnesota,14
wayne,indiana,14
yancey,north carolina,14
athens,ohio,14
saline,kansas,14
reno,kansas,14
grand,utah,14
mercer,new jersey,14
allegany,new york,14
montgomery,virginia,14
comanche,texas,14
lowndes,georgia,14
kaufman,texas,14
chisago,minnesota,14
pike,kentucky,14
rio arriba,new mexico,14
whitman,washington,14
harrison,indiana,13
la porte,indiana,13
juneau,alaska,13
houston,alabama,13
hill,montana,13
greene,tennessee,13
jefferson,oregon,13
johnson,arkansas,13
rowan,kentucky,13
sanilac,michigan,13
kosciusko,indiana,13
lamoille,vermont,13
cullman,alabama,13
montgomery,new york,13
madison,new york,13
chaffee,colorado,13
lyon,nevada,13
del norte,california,13
delta,michigan,13
dent,missouri,13
cass,michigan,13
rice,minnesota,13
washington,maine,13
etowah,alabama,13
carroll,georgia,13
calvert,maryland,13
waushara,wisconsin,13
erath,texas,13
emmet,michigan,13
marshall,indiana,13
wilson,north carolina,13
burnet,texas,13
vermilion,illinois,13
crawford,arkansas,13
marion,west virginia,13
marion,illinois,13
alamosa,colorado,13
crook,oregon,13
coweta,georgia,13
cleveland,north carolina,13
marathon,wisconsin,13
union,arkansas,13
craighead,arkansas,12
washington,ohio,12
harrisonburg city,virginia,12
putnam,west virginia,12
washington,wisconsin,12
clinton,indiana,12
monroe,wisconsin,12
union,pennsylvania,12
lonoke,arkansas,12
dickinson,michigan,12
carter,oklahoma,12
christian,missouri,12
hamblen,tennessee,12
cass,minnesota,12
van zandt,texas,12
harnett,north carolina,12
venango,pennsylvania,12
warren,virginia,12
burleigh,north dakota,12
macoupin,illinois,12
mercer,west virginia,12
hancock,ohio,12
christian,kentucky,12
polk,missouri,12
green lake,wisconsin,12
belmont,ohio,12
muscatine,iowa,12
geauga,ohio,12
paulding,georgia,12
nez perce,idaho,12
liberty,georgia,12
hunt,texas,12
baker,oregon,12
newton,georgia,12
saline,arkansas,12
san juan,washington,12
falls church city,virginia,12
white,arkansas,12
lincoln,montana,12
morgan,indiana,12
addison,vermont,12
emery,utah,12
yankton,south dakota,12
jefferson,wisconsin,12
bay,michigan,12
ascension,louisiana,11
colusa,california,11
okeechobee,florida,11
guadalupe,texas,11
antrim,michigan,11
jefferson,iowa,11
wise,virginia,11
mckinley,new mexico,11
isabella,michigan,11
itasca,minnesota,11
mecosta,michigan,11
barrow,georgia,11
clarion,pennsylvania,11
orange,texas,11
ionia,michigan,11
salem,new jersey,11
montrose,colorado,11
noble,indiana,11
hanover,virginia,11
wayne,north carolina,11
bryan,oklahoma,11
webb,texas,11
scott,kentucky,11
campbell,wyoming,11
jefferson,west virginia,11
pittsylvania,virginia,11
bradford,pennsylvania,11
muskogee,oklahoma,11
nacogdoches,texas,11
nassau,florida,11
whitley,indiana,11
modoc,california,11
bingham,idaho,11
newton,missouri,11
seneca,ohio,11
catoosa,georgia,11
cerro gordo,iowa,11
moore,north carolina,11
wapello,iowa,11
bedford,virginia,11
union,oregon,11
kay,oklahoma,11
cortland,new york,11
eddy,new mexico,11
mariposa,california,11
essex,new york,11
macon,north carolina,11
greene,pennsylvania,11
stearns,minnesota,11
queen annes,maryland,11
levy,florida,11
laurens,georgia,11
fayette,indiana,11
tangipahoa,louisiana,11
franklin,maine,11
steuben,indiana,11
grant,wisconsin,11
delaware,new york,11
steuben,new york,11
duplin,north carolina,11
dunn,wisconsin,11
greenup,kentucky,11
putnam,florida,11
liberty,texas,11
tazewell,illinois,11
jefferson,tennessee,10
fauquier,virginia,10
nelson,kentucky,10
hill,texas,10
branch,michigan,10
brown,texas,10
lincoln,missouri,10
susquehanna,pennsylvania,10
lincoln,north carolina,10
henry,illinois,10
bulloch,georgia,10
montcalm,michigan,10
livingston,kentucky,10
douglas,wisconsin,10
blue earth,minnesota,10
summit,utah,10
hood river,oregon,10
san miguel,new mexico,10
pacific,washington,10
adams,illinois,10
adams,wisconsin,10
fremont,wyoming,10
aitkin,minnesota,10
jackson,ohio,10
ottawa,ohio,10
lee,illinois,10
iosco,michigan,10
wyoming,pennsylvania,10
stephenson,illinois,10
asotin,washington,10
augusta,virginia,10
sawyer,wisconsin,10
oceana,michigan,10
humboldt,nevada,10
bannock,idaho,10
barton,kansas,10
bartow,georgia,10
payne,oklahoma,10
wilson,tennessee,10
bedford,pennsylvania,10
summit,colorado,10
seneca,new york,10
gibson,indiana,10
newaygo,michigan,10
washington,oklahoma,10
webster,iowa,10
churchill,nevada,10
jones,mississippi,10
cheatham,tennessee,10
pottawatomie,oklahoma,10
uintah,utah,10
polk,texas,10
la salle,texas,10
cole,missouri,10
tuscarawas,ohio,10
mason,west virginia,10
russell,kentucky,10
shelby,ohio,10
midland,michigan,10
pontotoc,oklahoma,10
christian,illinois,10
delta,colorado,10
routt,colorado,10
vernon,missouri,9
gibson,tennessee,9
hopewell city,virginia,9
hopkins,kentucky,9
manistee,michigan,9
leelanau,michigan,9
mcpherson,kansas,9
franklin,illinois,9
polk,wisconsin,9
fleming,kentucky,9
bethel,alaska,9
wabash,indiana,9
madison,north carolina,9
franklin,tennessee,9
nicollet,minnesota,9
walker,alabama,9
suffolk city,virginia,9
grand forks,north dakota,9
barron,wisconsin,9
jackson,west virginia,9
marshall,kentucky,9
jackson,georgia,9
shenandoah,virginia,9
page,virginia,9
adams,ohio,9
columbia,florida,9
marshall,west virginia,9
colquitt,georgia,9
laurens,south carolina,9
val verde,texas,9
crawford,ohio,9
orange,vermont,9
rutherford,north carolina,9
ashe,north carolina,9
acadia,louisiana,9
auglaize,ohio,9
latah,idaho,9
huntington,indiana,9
oconee,south carolina,9
garvin,oklahoma,9
wise,texas,9
williamson,illinois,9
lake,montana,9
elmore,alabama,9
tipton,tennessee,9
roosevelt,montana,9
lamar,texas,9
hawkins,tennessee,9
dyer,tennessee,9
catron,new mexico,9
talbot,maryland,9
tioga,pennsylvania,9
cherokee,south carolina,9
whitfield,georgia,9
caledonia,vermont,9
eastland,texas,9
hendricks,indiana,9
jessamine,kentucky,9
rockingham,north carolina,9
cass,texas,9
morgan,illinois,9
webster,louisiana,9
dawson,georgia,9
fannin,texas,9
carroll,arkansas,9
darlington,south carolina,9
carlton,minnesota,9
fulton,ohio,9
lincoln,maine,9
box elder,utah,9
boone,arkansas,9
sumter,florida,9
de kalb,alabama,9
highland,ohio,9
dickson,tennessee,9
carroll,virginia,9
osage,kansas,8
orleans,new york,8
randolph,arkansas,8
jackson,wisconsin,8
pike,ohio,8
marshall,tennessee,8
montezuma,colorado,8
otsego,michigan,8
robeson,north carolina,8
lee,georgia,8
ottawa,oklahoma,8
mason,illinois,8
lyon,kansas,8
livingston,illinois,8
jackson,north carolina,8
orangeburg,south carolina,8
madison,mississippi,8
lee,iowa,8
las animas,colorado,8
madison,iowa,8
jefferson,ohio,8
saint landry,louisiana,8
logan,ohio,8
nicholas,west virginia,8
miami,kansas,8
payette,idaho,8
pettis,missouri,8
knox,ohio,8
lincoln,new mexico,8
maries,missouri,8
jim wells,texas,8
lamar,mississippi,8
marinette,wisconsin,8
mcdowell,north carolina,8
lauderdale,alabama,8
mcdonough,illinois,8
oktibbeha,mississippi,8
laurel,kentucky,8
oldham,kentucky,8
mitchell,north carolina,8
ketchikan gateway,alaska,8
lawrence,kentucky,8
lauderdale,mississippi,8
washington,iowa,8
blaine,idaho,8
williams,north dakota,8
starke,indiana,8
benton,missouri,8
benton,iowa,8
harris,georgia,8
stephens,oklahoma,8
greenwood,south carolina,8
coles,illinois,8
beaufort,south carolina,8
beaufort,north carolina,8
barry,michigan,8
henderson,kentucky,8
scott,missouri,8
union,louisiana,8
bandera,texas,8
cowley,kansas,8
crawford,missouri,8
big horn,montana,8
whitley,kentucky,8
franklin,virginia,8
glacier,montana,8
caldwell,north carolina,8
cache,utah,8
bullitt,kentucky,8
charlevoix,michigan,8
buffalo,nebraska,8
webster,missouri,8
bristol city,virginia,8
gratiot,michigan,8
brewster,texas,8
chippewa,wisconsin,8
boyle,kentucky,8
walton,florida,8
hancock,west virginia,8
somerset,maryland,8
gordon,georgia,8
boone,illinois,8
clay,indiana,8
schuyler,new york,8
garfield,oklahoma,8
yates,new york,8
fayette,ohio,8
ferry,washington,8
avoyelles,louisiana,8
audrain,missouri,8
sandusky,ohio,8
sullivan,new hampshire,8
texas,missouri,8
sanders,montana,8
terrebonne,louisiana,8
isanti,minnesota,8
davie,north carolina,8
lowndes,mississippi,7
laclede,missouri,7
dickinson,iowa,7
uinta,wyoming,7
warren,iowa,7
lafayette,missouri,7
warren,mississippi,7
rockwall,texas,7
lumpkin,georgia,7
dewey,south dakota,7
lake,minnesota,7
graves,kentucky,7
polk,minnesota,7
randolph,illinois,7
washington,idaho,7
carson city,nevada,7
sierra,new mexico,7
carter,kentucky,7
cass,illinois,7
moniteau,missouri,7
cassia,idaho,7
effingham,georgia,7
logan,illinois,7
plaquemines,louisiana,7
clark,wisconsin,7
koochiching,minnesota,7
washburn,wisconsin,7
champaign,ohio,7
fannin,georgia,7
lincoln,louisiana,7
warren,pennsylvania,7
mille lacs,minnesota,7
chatham,north carolina,7
des moines,iowa,7
mclean,north dakota,7
spalding,georgia,7
gogebic,michigan,7
robertson,tennessee,7
mason,michigan,7
trinity,california,7
colfax,new mexico,7
custer,idaho,7
lawrence,indiana,7
preston,west virginia,7
franklin,kentucky,7
putnam,indiana,7
fulton,new york,7
cook,minnesota,7
fulton,indiana,7
malheur,oregon,7
culpeper,virginia,7
stoddard,missouri,7
marion,ohio,7
lee,north carolina,7
trempealeau,wisconsin,7
leon,texas,7
letcher,kentucky,7
davison,south dakota,7
finney,kansas,7
tyler,texas,7
clinton,iowa,7
stanly,north carolina,7
mckean,pennsylvania,7
de soto,florida,7
valley,idaho,7
riley,kansas,7
steele,minnesota,7
madison,idaho,7
cocke,tennessee,7
dallas,missouri,7
staunton city,virginia,7
gem,idaho,7
mcdonald,missouri,7
gasconade,missouri,7
kleberg,texas,7
cumberland,tennessee,7
navarro,texas,7
oneida,wisconsin,7
bradley,tennessee,7
park,montana,7
jasper,indiana,7
keith,nebraska,7
jasper,iowa,7
caroline,maryland,7
woodford,illinois,7
okmulgee,oklahoma,7
san patricio,texas,7
hutchinson,texas,7
harrison,texas,7
anderson,texas,7
saint marys,maryland,7
independence,arkansas,7
sevier,utah,7
neosho,kansas,7
sequoyah,oklahoma,7
howell,missouri,7
kanabec,minnesota,7
saint mary,louisiana,7
perry,kentucky,7
blount,alabama,7
huerfano,colorado,7
juneau,wisconsin,7
beckham,oklahoma,7
williams,ohio,7
ashland,ohio,7
allen,kentucky,7
hampshire,west virginia,7
wayne,missouri,7
pine,minnesota,7
henry,indiana,7
monroe,tennessee,7
jersey,illinois,7
gunnison,colorado,7
scotts bluff,nebraska,7
